android.support.design.R -> android.support.design.a:
android.support.design.R$anim -> android.support.design.b:
    com.google.api.client.http.UriTemplate$CompositeOutput QUERY -> f
    com.google.api.client.http.UriTemplate$CompositeOutput AMP -> g
    com.google.api.client.http.UriTemplate$CompositeOutput SIMPLE -> h
    java.lang.Character propertyPrefix -> i
    java.lang.String outputPrefix -> j
    java.lang.String explodeJoiner -> k
    boolean requiresVarAssignment -> l
    boolean reservedExpansion -> m
    com.google.api.client.http.UriTemplate$CompositeOutput[] $VALUES -> n
    com.google.api.client.http.UriTemplate$CompositeOutput[] values() -> values
    com.google.api.client.http.UriTemplate$CompositeOutput valueOf(java.lang.String) -> valueOf
    void <init>(java.lang.String,int,java.lang.Character,java.lang.String,java.lang.String,boolean,boolean) -> <init>
    java.lang.String getEncodedValue(java.lang.String) -> a
    void <clinit>() -> <clinit>
com.google.api.client.http.UrlEncodedContent -> com.google.a.a.c.ah:
    java.lang.Object data -> b
    void <init>(java.lang.Object) -> <init>
    void writeTo(java.io.OutputStream) -> a
    boolean appendParam(boolean,java.io.Writer,java.lang.String,java.lang.Object) -> a
com.google.api.client.http.UrlEncodedParser -> com.google.a.a.c.ai:
    java.lang.String MEDIA_TYPE -> a
    void parse(java.lang.String,java.lang.Object) -> a
    void parse(java.io.Reader,java.lang.Object) -> a
    java.lang.Object parseValue(java.lang.reflect.Type,java.util.List,java.lang.String) -> a
    java.lang.Object parseAndClose(java.io.InputStream,java.nio.charset.Charset,java.lang.Class) -> a
    void <clinit>() -> <clinit>
com.google.api.client.http.apache.ApacheHttpRequest -> com.google.a.a.c.a.a:
    org.apache.http.client.HttpClient httpClient -> e
    org.apache.http.client.methods.HttpRequestBase request -> f
    void <init>(org.apache.http.client.HttpClient,org.apache.http.client.methods.HttpRequestBase) -> <init>
    void addHeader(java.lang.String,java.lang.String) -> a
    void setTimeout(int,int) -> a
    com.google.api.client.http.LowLevelHttpResponse execute() -> a
com.google.api.client.http.apache.ApacheHttpResponse -> com.google.a.a.c.a.b:
    org.apache.http.client.methods.HttpRequestBase request -> a
    org.apache.http.HttpResponse response -> b
    org.apache.http.Header[] allHeaders -> c
    void <init>(org.apache.http.client.methods.HttpRequestBase,org.apache.http.HttpResponse) -> <init>
    int getStatusCode() -> e
    java.io.InputStream getContent() -> a
    java.lang.String getContentEncoding() -> b
    java.lang.String getContentType() -> c
    java.lang.String getReasonPhrase() -> f
    java.lang.String getStatusLine() -> d
    int getHeaderCount() -> g
    java.lang.String getHeaderName(int) -> a
    java.lang.String getHeaderValue(int) -> b
    void disconnect() -> h
com.google.api.client.http.apache.ApacheHttpTransport -> com.google.a.a.c.a.c:
    org.apache.http.client.HttpClient httpClient -> b
    void <init>() -> <init>
    void <init>(org.apache.http.client.HttpClient) -> <init>
    boolean supportsMethod(java.lang.String) -> a
    com.google.api.client.http.LowLevelHttpRequest buildRequest(java.lang.String,java.lang.String) -> a
com.google.api.client.http.apache.ContentEntity -> com.google.a.a.c.a.d:
    long contentLength -> a
    com.google.api.client.util.StreamingContent streamingContent -> b
    void <init>(long,com.google.api.client.util.StreamingContent) -> <init>
com.google.api.client.http.apache.HttpExtensionMethod -> com.google.a.a.c.a.e:
    java.lang.String methodName -> a
    void <init>(java.lang.String,java.lang.String) -> <init>
com.google.api.client.http.javanet.NetHttpRequest -> com.google.a.a.c.b.a:
    java.net.HttpURLConnection connection -> e
    void <init>(java.net.HttpURLConnection) -> <init>
    void addHeader(java.lang.String,java.lang.String) -> a
    void setTimeout(int,int) -> a
    com.google.api.client.http.LowLevelHttpResponse execute() -> a
com.google.api.client.http.javanet.NetHttpResponse -> com.google.a.a.c.b.b:
    java.net.HttpURLConnection connection -> a
    int responseCode -> b
    java.lang.String responseMessage -> c
    java.util.ArrayList headerNames -> d
    java.util.ArrayList headerValues -> e
    void <init>(java.net.HttpURLConnection) -> <init>
    int getStatusCode() -> e
    java.io.InputStream getContent() -> a
    java.lang.String getContentEncoding() -> b
    java.lang.String getContentType() -> c
    java.lang.String getReasonPhrase() -> f
    java.lang.String getStatusLine() -> d
    int getHeaderCount() -> g
    java.lang.String getHeaderName(int) -> a
    java.lang.String getHeaderValue(int) -> b
    void disconnect() -> h
com.google.api.client.http.javanet.NetHttpTransport -> com.google.a.a.c.b.c:
    java.lang.String[] SUPPORTED_METHODS -> b
    java.net.Proxy proxy -> c
    javax.net.ssl.SSLSocketFactory sslSocketFactory -> d
    javax.net.ssl.HostnameVerifier hostnameVerifier -> e
    void <init>() -> <init>
    void <init>(byte) -> <init>
    boolean supportsMethod(java.lang.String) -> a
    com.google.api.client.http.LowLevelHttpRequest buildRequest(java.lang.String,java.lang.String) -> a
    void <clinit>() -> <clinit>
com.google.api.client.http.json.JsonHttpContent -> com.google.a.a.c.c.a:
    java.lang.Object data -> c
    com.google.api.client.json.JsonFactory jsonFactory -> d
    java.lang.String wrapperKey -> b
    void <init>(com.google.api.client.json.JsonFactory,java.lang.Object) -> <init>
    void writeTo(java.io.OutputStream) -> a
com.google.api.client.json.CustomizeJsonParser -> com.google.a.a.d.a:
com.google.api.client.json.GenericJson -> com.google.a.a.d.b:
    com.google.api.client.json.JsonFactory jsonFactory -> a
    void <init>() -> <init>
    java.lang.String toString() -> toString
    java.lang.String toPrettyString() -> c
    com.google.api.client.json.GenericJson clone() -> a
    com.google.api.client.json.GenericJson set(java.lang.String,java.lang.Object) -> a
    com.google.api.client.util.GenericData clone() -> b
    com.google.api.client.util.GenericData set(java.lang.String,java.lang.Object) -> b
    java.lang.Object clone() -> clone
com.google.api.client.json.JsonFactory -> com.google.a.a.d.c:
    void <init>() -> <init>
    com.google.api.client.json.JsonParser createJsonParser(java.io.InputStream) -> a
    com.google.api.client.json.JsonParser createJsonParser(java.io.InputStream,java.nio.charset.Charset) -> a
    com.google.api.client.json.JsonParser createJsonParser(java.lang.String) -> a
    com.google.api.client.json.JsonGenerator createJsonGenerator(java.io.OutputStream,java.nio.charset.Charset) -> a
    java.lang.String toString(java.lang.Object,boolean) -> a
com.google.api.client.json.JsonGenerator -> com.google.a.a.d.d:
    void <init>() -> <init>
    void flush() -> a
    void writeStartArray() -> e
    void writeEndArray() -> b
    void writeStartObject() -> f
    void writeEndObject() -> c
    void writeFieldName(java.lang.String) -> a
    void writeNull() -> d
    void writeString(java.lang.String) -> b
    void writeBoolean(boolean) -> a
    void writeNumber(int) -> a
    void writeNumber(long) -> a
    void writeNumber(java.math.BigInteger) -> a
    void writeNumber(float) -> a
    void writeNumber(double) -> a
    void writeNumber(java.math.BigDecimal) -> a
    void serialize(boolean,java.lang.Object) -> a
    void enablePrettyPrint() -> g
com.google.api.client.json.JsonObjectParser -> com.google.a.a.d.e:
    com.google.api.client.json.JsonFactory jsonFactory -> a
    java.util.Set wrapperKeys -> b
    void <init>(com.google.api.client.json.JsonObjectParser$Builder) -> <init>
    java.lang.Object parseAndClose(java.io.InputStream,java.nio.charset.Charset,java.lang.Class) -> a
com.google.api.client.json.JsonObjectParser$Builder -> com.google.a.a.d.f:
    com.google.api.client.json.JsonFactory jsonFactory -> a
    java.util.Collection wrapperKeys -> b
    void <init>(com.google.api.client.json.JsonFactory) -> <init>
    com.google.api.client.json.JsonObjectParser build() -> a
com.google.api.client.json.JsonParser -> com.google.a.a.d.g:
    java.util.WeakHashMap cachedTypemapFields -> a
    java.util.concurrent.locks.Lock lock -> b
    void <init>() -> <init>
    com.google.api.client.json.JsonFactory getFactory() -> d
    void close() -> a
    com.google.api.client.json.JsonToken nextToken() -> n
    com.google.api.client.json.JsonToken getCurrentToken() -> c
    java.lang.String getCurrentName() -> b
    com.google.api.client.json.JsonParser skipChildren() -> o
    java.lang.String getText() -> m
    byte getByteValue() -> e
    short getShortValue() -> f
    int getIntValue() -> g
    float getFloatValue() -> h
    long getLongValue() -> l
    double getDoubleValue() -> k
    java.math.BigInteger getBigIntegerValue() -> i
    java.math.BigDecimal getDecimalValue() -> j
    java.lang.Object parseAndClose$5939fbbb(java.lang.Class) -> a
    java.lang.String skipToKey(java.util.Set) -> a
    com.google.api.client.json.JsonToken startParsing() -> p
    com.google.api.client.json.JsonToken startParsingObjectOrArray() -> q
    java.lang.Object parse$33a1f6c3(java.lang.reflect.Type,boolean) -> a
    void parseMap(java.lang.reflect.Field,java.util.Map,java.lang.reflect.Type,java.util.ArrayList,com.google.api.client.json.CustomizeJsonParser) -> a
    java.lang.Object parseValue$67f27402(java.lang.reflect.Field,java.lang.reflect.Type,java.util.ArrayList,com.google.api.client.json.CustomizeJsonParser,boolean) -> a
    java.lang.reflect.Field getCachedTypemapFieldFor(java.lang.Class) -> b
    void <clinit>() -> <clinit>
com.google.api.client.json.JsonParser$1 -> com.google.a.a.d.h:
    int[] $SwitchMap$com$google$api$client$json$JsonToken -> a
    void <clinit>() -> <clinit>
com.google.api.client.json.JsonPolymorphicTypeMap -> com.google.a.a.d.i:
    com.google.api.client.json.JsonPolymorphicTypeMap$TypeDef[] typeDefinitions() -> a
com.google.api.client.json.JsonPolymorphicTypeMap$TypeDef -> com.google.a.a.d.j:
    java.lang.String key() -> a
    java.lang.Class ref() -> b
com.google.api.client.json.JsonString -> com.google.a.a.d.k:
com.google.api.client.json.JsonToken -> com.google.a.a.d.l:
    com.google.api.client.json.JsonToken START_ARRAY -> a
    com.google.api.client.json.JsonToken END_ARRAY -> b
    com.google.api.client.json.JsonToken START_OBJECT -> c
    com.google.api.client.json.JsonToken END_OBJECT -> d
    com.google.api.client.json.JsonToken FIELD_NAME -> e
    com.google.api.client.json.JsonToken VALUE_STRING -> f
    com.google.api.client.json.JsonToken VALUE_NUMBER_INT -> g
    com.google.api.client.json.JsonToken VALUE_NUMBER_FLOAT -> h
    com.google.api.client.json.JsonToken VALUE_TRUE -> i
    com.google.api.client.json.JsonToken VALUE_FALSE -> j
    com.google.api.client.json.JsonToken VALUE_NULL -> k
    com.google.api.client.json.JsonToken NOT_AVAILABLE -> l
    com.google.api.client.json.JsonToken[] $VALUES -> m
    com.google.api.client.json.JsonToken[] values() -> values
    com.google.api.client.json.JsonToken valueOf(java.lang.String) -> valueOf
    void <init>(java.lang.String,int) -> <init>
    void <clinit>() -> <clinit>
com.google.api.client.json.jackson2.JacksonFactory -> com.google.a.a.d.a.a:
    com.fasterxml.jackson.core.JsonFactory factory -> a
    void <init>() -> <init>
    com.google.api.client.json.JsonGenerator createJsonGenerator(java.io.OutputStream,java.nio.charset.Charset) -> a
    com.google.api.client.json.JsonParser createJsonParser(java.io.InputStream) -> a
    com.google.api.client.json.JsonParser createJsonParser(java.io.InputStream,java.nio.charset.Charset) -> a
    com.google.api.client.json.JsonParser createJsonParser(java.lang.String) -> a
    com.google.api.client.json.JsonToken convert(com.fasterxml.jackson.core.JsonToken) -> a
com.google.api.client.json.jackson2.JacksonFactory$1 -> com.google.a.a.d.a.b:
    int[] $SwitchMap$com$fasterxml$jackson$core$JsonToken -> a
    void <clinit>() -> <clinit>
com.google.api.client.json.jackson2.JacksonGenerator -> com.google.a.a.d.a.c:
    com.fasterxml.jackson.core.JsonGenerator generator -> a
    com.google.api.client.json.jackson2.JacksonFactory factory -> b
    void <init>(com.google.api.client.json.jackson2.JacksonFactory,com.fasterxml.jackson.core.JsonGenerator) -> <init>
    void flush() -> a
    void writeBoolean(boolean) -> a
    void writeEndArray() -> b
    void writeEndObject() -> c
    void writeFieldName(java.lang.String) -> a
    void writeNull() -> d
    void writeNumber(int) -> a
    void writeNumber(long) -> a
    void writeNumber(java.math.BigInteger) -> a
    void writeNumber(double) -> a
    void writeNumber(float) -> a
    void writeNumber(java.math.BigDecimal) -> a
    void writeStartArray() -> e
    void writeStartObject() -> f
    void writeString(java.lang.String) -> b
    void enablePrettyPrint() -> g
com.google.api.client.json.jackson2.JacksonParser -> com.google.a.a.d.a.d:
    com.fasterxml.jackson.core.JsonParser parser -> a
    com.google.api.client.json.jackson2.JacksonFactory factory -> b
    void <init>(com.google.api.client.json.jackson2.JacksonFactory,com.fasterxml.jackson.core.JsonParser) -> <init>
    void close() -> a
    com.google.api.client.json.JsonToken nextToken() -> n
    java.lang.String getCurrentName() -> b
    com.google.api.client.json.JsonToken getCurrentToken() -> c
    com.google.api.client.json.JsonParser skipChildren() -> o
